,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class,class_coding
70,5.9,3.2,4.8,1.8,Iris-versicolor,2
71,6.1,2.8,4.0,1.3,Iris-versicolor,2
73,6.1,2.8,4.7,1.2,Iris-versicolor,2
74,6.4,2.9,4.3,1.3,Iris-versicolor,2
75,6.6,3.0,4.4,1.4,Iris-versicolor,2
76,6.8,2.8,4.8,1.4,Iris-versicolor,2
82,5.8,2.7,3.9,1.2,Iris-versicolor,2
83,6.0,2.8,5.1,1.6,Iris-versicolor,2
84,5.4,3.0,4.5,1.5,Iris-versicolor,2
85,6.0,3.4,4.5,1.6,Iris-versicolor,2
86,6.7,3.1,4.7,1.5,Iris-versicolor,2
88,5.6,3.0,4.1,1.3,Iris-versicolor,2
91,6.1,3.0,4.6,1.4,Iris-versicolor,2
94,5.6,2.7,4.2,1.3,Iris-versicolor,2
95,5.7,3.0,4.2,1.2,Iris-versicolor,4
96,5.7,2.9,4.2,1.3,Iris-versicolor,4
97,6.2,2.9,4.3,1.3,Iris-versicolor,4
99,5.7,2.8,4.1,1.3,Iris-versicolor,4
100,6.3,3.3,6.0,2.5,Iris-virginica,3
101,5.8,2.7,5.1,1.9,Iris-virginica,3
102,7.1,3.0,5.9,2.1,Iris-virginica,3
103,6.3,2.9,5.6,1.8,Iris-virginica,3
104,6.5,3.0,5.8,2.2,Iris-virginica,3
105,7.6,3.0,6.6,2.1,Iris-virginica,3
107,7.3,2.9,6.3,1.8,Iris-virginica,3
109,7.2,3.6,6.1,2.5,Iris-virginica,3
110,6.5,3.2,5.1,2.0,Iris-virginica,3
111,6.4,2.7,5.3,1.9,Iris-virginica,3
112,6.8,3.0,5.5,2.1,Iris-virginica,3
114,5.8,2.8,5.1,2.4,Iris-virginica,3
115,6.4,3.2,5.3,2.3,Iris-virginica,3
116,6.5,3.0,5.5,1.8,Iris-virginica,3
117,7.7,3.8,6.7,2.2,Iris-virginica,3
120,6.9,3.2,5.7,2.3,Iris-virginica,3
121,5.6,2.8,4.9,2.0,Iris-virginica,3
122,5.6,2.8,6.7,2.0,Iris-virginica,3
123,6.3,2.7,4.9,1.8,Iris-virginica,3
124,6.7,3.3,5.7,2.1,Iris-virginica,3
125,7.2,3.2,6.0,1.8,Iris-virginica,3
126,6.2,2.8,4.8,1.8,Iris-virginica,3
127,6.1,3.0,4.9,1.8,Iris-virginica,3
128,6.4,2.8,5.6,2.1,Iris-virginica,3
129,7.2,3.0,5.8,1.6,Iris-virginica,3
130,7.4,2.8,6.1,1.9,Iris-virginica,3
131,7.9,3.8,6.4,2.0,Iris-virginica,3
132,6.4,2.8,5.6,2.2,Iris-virginica,3
133,6.3,2.8,5.1,1.5,Iris-virginica,3
135,7.7,3.0,6.1,2.3,Iris-virginica,3
136,6.3,3.4,5.6,2.4,Iris-virginica,3
137,6.4,3.1,5.5,1.8,Iris-virginica,3
138,6.0,3.0,4.8,1.8,Iris-virginica,3
139,6.9,3.1,5.4,2.1,Iris-virginica,3
140,6.7,3.1,5.6,2.4,Iris-virginica,3
141,6.9,3.1,5.1,2.3,Iris-virginica,3
142,5.8,2.7,5.1,1.9,Iris-virginica,3
143,6.8,3.2,5.9,2.3,Iris-virginica,3
144,6.7,3.3,5.7,2.5,Iris-virginica,3
145,6.7,3.0,5.2,2.3,Iris-virginica,3
147,6.5,3.0,5.2,2.0,Iris-virginica,3
148,6.2,3.4,5.4,2.3,Iris-virginica,3
149,5.9,3.0,5.1,1.8,Iris-virginica,3
